"","curs","Any","codi_centre","nom_complet","codi_naturalesa","nom_naturalesa","codi_titularitat","nom_titularitat","codi_delegacio","nom_delegacio","codi_comarca","nom_comarca","codi_municipi","codi_municipi_6","nom_municipi","codi_districte_minicial","nom_dm","UTM_X","UTM_Y","nom_ensenyament","nivell","nom_grups","mixt","nombre_places","places_ofertades","assignacions","assig_1a","assig_altres","georeferencia","edat","num_dona","num_home","num_total","lng","lat","% ocupades","% infants del municipi"
"1","2020/2021","2020","8018273","Norai","2","Privat","26","Societats Mercantils","208","Barcelona Comarques","13","Barcelones","08101","81017","L'Hospitalet de Llobregat","5","Pubilla Casas","427036.736","4579701.149","Educacio secundaria obligatoria","1","1","FALSE",30,5,5,5,0,"(41.36551551, 2.127605424)",12,1232,1276,2508,"2.103566734","41.374794179",16.7,100
"2","2020/2021","2020","8025174","Sant Gabriel","2","Privat","24","Ordes i Congregacions Catolics","208","Barcelona Comarques","13","Barcelones","08194","81944","Sant Adria de Besos","0","0","450114.099","4613289.114","Educacio secundaria obligatoria","1","2","FALSE",60,9,9,9,0,"(41.669801, 2.400730867)",12,236,202,438,"2.216187073","41.431140434",15,100
"3","2020/2021","2020","8021430","Institut Lluis de Requesens","1","Public","1","Departament d'Ensenyament","308","Baix Llobregat","11","Baix Llobregat","08123","81234","Molins de Rei","0","0","433616.789","4599446.804","Educacio secundaria obligatoria","1","5","FALSE",150,143,87,129,42,"(41.54392734, 2.204101931)",12,145,179,324,"2.018766666","41.406677064",58,100
"4","2020/2021","2020","8024406","Estel","2","Privat","26","Societats Mercantils","408","Valles Occidental","40","Valles Occident","08187","81878","Sabadell","1","Sabadell 1","426214.316","4597984.887","Educacio secundaria obligatoria","1","1","FALSE",30,6,2,6,4,"(41.53011237, 2.115539428)",12,1235,1261,2496,"2.106648568","41.550032074",6.7,100
"5","2020/2021","2020","8017335","Sant Lluis Goncaga","2","Privat","22","Fundacions","508","Maresme-Valles Oriental","41","Valles Oriental","08088","80885","La Garriga","0","0","416246.868","4569508.032","Educacio secundaria obligatoria","1","1","FALSE",30,3,3,3,0,"(41.27266238, 2.00001698)",12,102,119,221,"2.28982331","41.679402316",10,100
"6","2020/2021","2020","8005114","Mare del Divi Pastor","2","Privat","24","Ordes i Congregacions Catolics","108","Consorci d'Educacio de Barcelona","13","Barcelones","08019","80193","Barcelona","2","Eixample","431053.416","4582772.214","Educacio secundaria obligatoria","1","1","FALSE",30,7,1,2,1,"(41.39352973, 2.175277075)",12,6615,7082,13697,"2.175277075","41.393529732",3.3,100
"7","2020/2021","2020","8026181","FEDAC-Sant Feliu","2","Privat","22","Fundacions","508","Maresme-Valles Oriental","41","Valles Oriental","08210","82107","Sant Feliu de Codines","0","0","420550.712","4582862.217","Educacio secundaria obligatoria","1","1","FALSE",30,6,3,4,1,"(41.39337139, 2.049649866)",12,28,37,65,"2.160811783","41.690202632",10,100
"8","2020/2021","2020","8017815","L'Estel","2","Privat","41","Persones Fisiques","508","Maresme-Valles Oriental","41","Valles Oriental","08096","80961","Granollers","0","0","440216.759","4606351.95","Educacio secundaria obligatoria","1","1","FALSE",30,3,3,3,0,"(41.60663986, 2.282537706)",12,318,366,684,"2.290001207","41.612156895",10,100
"9","2020/2021","2020","8007858","Escolapies Sant Marti - Barcelona","2","Privat","22","Fundacions","108","Consorci d'Educacio de Barcelona","13","Barcelones","08019","80193","Barcelona","10","Sant Marti","431105.128","4588207.939","Educacio secundaria obligatoria","1","2","FALSE",60,12,8,12,4,"(41.44249183, 2.175276446)",12,6615,7082,13697,"2.181607089","41.41270672",13.3,100
"10","2020/2021","2020","8019058","Tecla Sala","2","Privat","22","Fundacions","208","Barcelona Comarques","13","Barcelones","08101","81017","L'Hospitalet de Llobregat","1","Centre - Sant Josep - Santfeliu","427187.641","4579566.543","Educacio secundaria obligatoria","1","4","FALSE",120,41,24,30,6,"(41.36431683, 2.12942569)",12,1232,1276,2508,"2.098398436","41.360647493",20,100
"11","2020/2021","2020","8003907","La Salle Bonanova","2","Privat","24","Ordes i Congregacions Catolics","108","Consorci d'Educacio de Barcelona","13","Barcelones","08019","80193","Barcelona","5","Sarria - Sant Gervasi","427488.792","4584214.813","Educacio secundaria obligatoria","1","4","FALSE",120,0,0,0,0,"(41.40620912, 2.132469674)",12,6615,7082,13697,"2.132469674","41.406209122",0,100
"12","2020/2021","2020","8016628","Sagrada Familia","2","Privat","22","Fundacions","308","Baix Llobregat","11","Baix Llobregat","08073","80734","Cornella de Llobregat","0","0","422275.785","4578830.569","Educacio secundaria obligatoria","1","1","FALSE",30,7,4,7,3,"(41.35722907, 2.070799015)",12,459,494,953,"2.072552827","41.355839345",13.3,100
"13","2020/2021","2020","8010501","Claret","2","Privat","24","Ordes i Congregacions Catolics","108","Consorci d'Educacio de Barcelona","13","Barcelones","08019","80193","Barcelona","6","Gracia","429060.51","4585745.017","Educacio secundaria obligatoria","1","3","FALSE",90,0,0,0,0,"(41.42013129, 2.151092421)",12,6615,7082,13697,"2.166850517","41.405708008",0,100
"14","2020/2021","2020","8006994","Sant Josep-Teresianes","2","Privat","22","Fundacions","108","Consorci d'Educacio de Barcelona","13","Barcelones","08019","80193","Barcelona","6","Gracia","429379.516","4584273.408","Educacio secundaria obligatoria","1","2","FALSE",60,10,8,9,1,"(41.40690519, 2.155081222)",12,6615,7082,13697,"2.165548395","41.405734575",13.3,100
"15","2020/2021","2020","8020218","La Salle","2","Privat","24","Ordes i Congregacions Catolics","1060","Catalunya Central","7","Bages","08113","81136","Manresa","0","0","402484.644","4621183.016","Educacio secundaria obligatoria","1","3","FALSE",90,60,56,63,7,"(41.7364808, 1.827364039)",12,447,453,900,"1.837865","41.741968",62.2,100
"16","2020/2021","2020","8008656","Ramon Llull","2","Privat","26","Societats Mercantils","108","Consorci d'Educacio de Barcelona","13","Barcelones","08019","80193","Barcelona","9","Sant Andreu","430810.965","4590392.108","Educacio secundaria obligatoria","1","1","FALSE",30,5,1,5,4,"(41.46213844, 2.171505168)",12,6615,7082,13697,"2.181824475","41.420651279",3.3,100
"17","2020/2021","2020","8008267","L'Esperanca","2","Privat","22","Fundacions","108","Consorci d'Educacio de Barcelona","13","Barcelones","08019","80193","Barcelona","9","Sant Andreu","432465.356","4587038.303","Educacio secundaria obligatoria","1","1","FALSE",30,12,4,4,0,"(41.43207289, 2.191688541)",12,6615,7082,13697,"2.20114573","41.446756238",13.3,100
