"","curs","nom_comarca","Places totals","Places ofertades","Places assignades","% places assignades"
"1","2017/2018","Alt Camp",7042,1773,804,45.3
"2","2017/2018","Alt Emporda",20211,3965,2722,68.7
"3","2017/2018","Alt Penedes",17256,3261,2096,64.3
"4","2017/2018","Alt Urgell",2840,757,335,44.3
"5","2017/2018","Alta Ribagorca",614,217,82,37.8
"6","2017/2018","Anoia",20014,4650,2427,52.2
"7","2017/2018","Bages",26768,6127,3455,56.4
"8","2017/2018","Baix Camp",30627,6260,3838,61.3
"9","2017/2018","Baix Ebre",11863,3207,1409,43.9
"10","2017/2018","Baix Emporda",18074,3153,2293,72.7
"11","2017/2018","Baix Llobregat",115566,19462,15571,80
"12","2017/2018","Baix Penedes",16147,3291,2015,61.2
"13","2017/2018","Barcelones",261284,41817,32331,77.3
"14","2017/2018","Bergueda",5399,1762,653,37.1
"15","2017/2018","Cerdanya",2350,735,289,39.3
"16","2017/2018","Conca de Barbera",3360,1230,390,31.7
"17","2017/2018","Garraf",19448,3359,2677,79.7
"18","2017/2018","Garrigues",2533,686,263,38.3
"19","2017/2018","Garrotxa",7494,1402,926,66
"20","2017/2018","Girones",29957,5143,4131,80.3
"21","2017/2018","Maresme",64353,12094,8468,70
"22","2017/2018","Moianes",2165,699,197,28.2
"23","2017/2018","Montsia",9985,2572,1210,47
"24","2017/2018","Noguera",5551,1301,631,48.5
"25","2017/2018","Osona",25746,6269,3084,49.2
"26","2017/2018","Pallars Jussa",1809,545,199,36.5
"27","2017/2018","Pallars Sobira",929,268,97,36.2
"28","2017/2018","Pla d'Urgell",5604,1437,712,49.5
"29","2017/2018","Pla de l'Estany",4901,842,723,85.9
"30","2017/2018","Priorat",1565,755,170,22.5
"31","2017/2018","Ribera d'Ebre",3435,1261,319,25.3
"32","2017/2018","Ripolles",3212,780,362,46.4
"33","2017/2018","Segarra",3692,1046,497,47.5
"34","2017/2018","Segria",32315,7439,3945,53
"35","2017/2018","Selva",23055,4259,3009,70.7
"36","2017/2018","Solsones",2189,749,300,40.1
"37","2017/2018","Tarragones",39111,8058,4884,60.6
"38","2017/2018","Terra Alta",1980,942,152,16.1
"39","2017/2018","Urgell",5787,1355,756,55.8
"40","2017/2018","Val d'Aran",1293,353,183,51.8
"41","2017/2018","Valles Occidental",136710,21981,17980,81.8
"42","2017/2018","Valles Oriental",63188,11942,8210,68.7
"43","2018/2019","Alt Camp",7131,1901,842,44.3
"44","2018/2019","Alt Emporda",20446,4033,2896,71.8
"45","2018/2019","Alt Penedes",17417,3201,2141,66.9
"46","2018/2019","Alt Urgell",2780,705,346,49.1
"47","2018/2019","Alta Ribagorca",619,219,64,29.2
"48","2018/2019","Anoia",19957,4748,2390,50.3
"49","2018/2019","Bages",27075,6193,3430,55.4
"50","2018/2019","Baix Camp",30573,6074,3816,62.8
"51","2018/2019","Baix Ebre",11837,3226,1436,44.5
"52","2018/2019","Baix Emporda",18887,3848,2488,64.7
"53","2018/2019","Baix Llobregat",115810,19420,15447,79.5
"54","2018/2019","Baix Penedes",16144,3326,2145,64.5
"55","2018/2019","Barcelones",262583,41016,33383,81.4
"56","2018/2019","Bergueda",5411,1722,692,40.2
"57","2018/2019","Cerdanya",2345,690,269,39
"58","2018/2019","Conca de Barbera",3390,1216,384,31.6
"59","2018/2019","Garraf",19441,3289,2659,80.8
"60","2018/2019","Garrigues",2490,675,280,41.5
"61","2018/2019","Garrotxa",7626,1417,989,69.8
"62","2018/2019","Girones",31095,5842,4198,71.9
"63","2018/2019","Maresme",64645,11802,8395,71.1
"64","2018/2019","Moianes",2168,708,190,26.8
"65","2018/2019","Montsia",10005,2567,1298,50.6
"66","2018/2019","Noguera",5631,1310,619,47.3
"67","2018/2019","Osona",25820,5984,3007,50.3
"68","2018/2019","Pallars Jussa",1835,539,192,35.6
"69","2018/2019","Pallars Sobira",832,189,107,56.6
"70","2018/2019","Pla d'Urgell",5625,1472,674,45.8
"71","2018/2019","Pla de l'Estany",4973,869,748,86.1
"72","2018/2019","Priorat",1595,774,135,17.4
"73","2018/2019","Ribera d'Ebre",3440,1289,310,24
"74","2018/2019","Ripolles",3433,972,368,37.9
"75","2018/2019","Segarra",3742,1027,463,45.1
"76","2018/2019","Segria",32253,7179,4015,55.9
"77","2018/2019","Selva",23787,5024,3166,63
"78","2018/2019","Solsones",2161,683,291,42.6
"79","2018/2019","Tarragones",39337,7993,4981,62.3
"80","2018/2019","Terra Alta",1960,922,172,18.7
"81","2018/2019","Urgell",5819,1357,738,54.4
"82","2018/2019","Val d'Aran",1199,273,172,63
"83","2018/2019","Valles Occidental",136825,21838,18043,82.6
"84","2018/2019","Valles Oriental",62929,11948,8318,69.6
"85","2019/2020","Alt Camp",7107,1893,839,44.3
"86","2019/2020","Alt Emporda",20362,3814,2634,69.1
"87","2019/2020","Alt Penedes",17013,2927,1999,68.3
"88","2019/2020","Alt Urgell",2751,659,336,51
"89","2019/2020","Alta Ribagorca",620,216,73,33.8
"90","2019/2020","Anoia",20333,5075,2556,50.4
"91","2019/2020","Bages",27194,6120,3534,57.7
"92","2019/2020","Baix Camp",30891,6032,3819,63.3
"93","2019/2020","Baix Ebre",11655,3096,1426,46.1
"94","2019/2020","Baix Emporda",18765,3692,2421,65.6
"95","2019/2020","Baix Llobregat",114961,19049,15241,80
"96","2019/2020","Baix Penedes",16085,3227,2090,64.8
"97","2019/2020","Barcelones",263438,40602,33014,81.3
"98","2019/2020","Bergueda",5523,1776,704,39.6
"99","2019/2020","Cerdanya",2225,494,270,54.7
"100","2019/2020","Conca de Barbera",3225,1057,350,33.1
"101","2019/2020","Garraf",19371,3276,2607,79.6
"102","2019/2020","Garrigues",2506,697,293,42
"103","2019/2020","Garrotxa",7988,1676,984,58.7
"104","2019/2020","Girones",31148,5671,4132,72.9
"105","2019/2020","Maresme",64683,11670,8313,71.2
"106","2019/2020","Moianes",2155,704,208,29.5
"107","2019/2020","Montsia",10068,2605,1196,45.9
"108","2019/2020","Noguera",5487,1167,624,53.5
"109","2019/2020","Osona",26207,6268,3002,47.9
"110","2019/2020","Pallars Jussa",1807,522,196,37.5
"111","2019/2020","Pallars Sobira",805,173,103,59.5
"112","2019/2020","Pla d'Urgell",5754,1554,674,43.4
"113","2019/2020","Pla de l'Estany",4924,823,715,86.9
"114","2019/2020","Priorat",1575,724,142,19.6
"115","2019/2020","Ribera d'Ebre",3565,1444,307,21.3
"116","2019/2020","Ripolles",3391,939,325,34.6
"117","2019/2020","Segarra",3633,866,472,54.5
"118","2019/2020","Segria",31970,6638,3886,58.5
"119","2019/2020","Selva",24018,5092,3111,61.1
"120","2019/2020","Solsones",2202,686,288,42
"121","2019/2020","Tarragones",38653,7438,4731,63.6
"122","2019/2020","Terra Alta",2005,933,147,15.8
"123","2019/2020","Urgell",5898,1409,769,54.6
"124","2019/2020","Val d'Aran",1159,220,168,76.4
"125","2019/2020","Valles Occidental",137213,21791,17918,82.2
"126","2019/2020","Valles Oriental",62596,11779,8063,68.5
"127","2020/2021","Alt Camp",7078,1915,831,43.4
"128","2020/2021","Alt Emporda",20456,3971,2658,66.9
"129","2020/2021","Alt Penedes",16856,2938,1997,68
"130","2020/2021","Alt Urgell",2696,634,322,50.8
"131","2020/2021","Alta Ribagorca",593,187,78,41.7
"132","2020/2021","Anoia",20247,4898,2417,49.3
"133","2020/2021","Bages",27312,5995,3235,54
"134","2020/2021","Baix Camp",30752,6047,3562,58.9
"135","2020/2021","Baix Ebre",11740,3179,1343,42.2
"136","2020/2021","Baix Emporda",18763,3697,2404,65
"137","2020/2021","Baix Llobregat",113980,19012,13883,73
"138","2020/2021","Baix Penedes",16299,3318,2032,61.2
"139","2020/2021","Barcelones",264079,40488,28493,70.4
"140","2020/2021","Bergueda",5487,1636,659,40.3
"141","2020/2021","Cerdanya",2224,534,264,49.4
"142","2020/2021","Conca de Barber",3230,1118,350,31.3
"143","2020/2021","Garraf",19194,3349,2308,68.9
"144","2020/2021","Garrigues",2407,608,278,45.7
"145","2020/2021","Garrotxa",7715,1254,886,70.7
"146","2020/2021","Girones",31321,5760,3961,68.8
"147","2020/2021","Maresme",64599,11721,7540,64.3
"148","2020/2021","Moianes",2065,689,201,29.2
