"","nom_comarca","nivell","nom_naturalesa","nom_ensenyament","edat","places ofertades","assignacions","% ocupades","dem","Curs"
"1","Alt Camp","1","Privat","Educacio infantil 2n cicle",3,115,92,80,"Catalunya","1-Educacio infantil 2n cicle"
"2","Alt Camp","1","Privat","Educacio primaria",6,12,2,16.7,"Catalunya","1-Educacio primaria"
"3","Alt Camp","1","Privat","Educacio secundaria obligatoria",12,12,7,58.3,"Catalunya","1-Educacio secundaria obligatoria"
"4","Alt Camp","1","Public","Educacio infantil 2n cicle",3,415,270,65.1,"Catalunya","1-Educacio infantil 2n cicle"
"5","Alt Camp","1","Public","Educacio primaria",6,124,4,3.2,"Catalunya","1-Educacio primaria"
"6","Alt Camp","1","Public","Educacio secundaria obligatoria",12,419,404,96.4,"Catalunya","1-Educacio secundaria obligatoria"
"7","Alt Camp","2","Privat","Educacio infantil 2n cicle",4,20,3,15,"Catalunya","2-Educacio infantil 2n cicle"
"8","Alt Camp","2","Privat","Educacio primaria",7,4,0,0,"Catalunya","2-Educacio primaria"
"9","Alt Camp","2","Privat","Educacio secundaria obligatoria",13,9,1,11.1,"Catalunya","2-Educacio secundaria obligatoria"
"10","Alt Camp","2","Public","Educacio infantil 2n cicle",4,111,7,6.3,"Catalunya","2-Educacio infantil 2n cicle"
"11","Alt Camp","2","Public","Educacio primaria",7,96,1,1,"Catalunya","2-Educacio primaria"
"12","Alt Camp","2","Public","Educacio secundaria obligatoria",13,21,4,19,"Catalunya","2-Educacio secundaria obligatoria"
"13","Alt Camp","3","Privat","Educacio infantil 2n cicle",5,11,1,9.1,"Catalunya","3-Educacio infantil 2n cicle"
"14","Alt Camp","3","Privat","Educacio primaria",8,1,1,100,"Catalunya","3-Educacio primaria"
"15","Alt Camp","3","Privat","Educacio secundaria obligatoria",14,18,0,0,"Catalunya","3-Educacio secundaria obligatoria"
"16","Alt Camp","3","Public","Educacio infantil 2n cicle",5,104,6,5.8,"Catalunya","3-Educacio infantil 2n cicle"
"17","Alt Camp","3","Public","Educacio primaria",8,99,9,9.1,"Catalunya","3-Educacio primaria"
"18","Alt Camp","3","Public","Educacio secundaria obligatoria",14,19,6,31.6,"Catalunya","3-Educacio secundaria obligatoria"
"19","Alt Camp","4","Privat","Educacio primaria",9,3,1,33.3,"Catalunya","4-Educacio primaria"
"20","Alt Camp","4","Privat","Educacio secundaria obligatoria",15,19,0,0,"Catalunya","4-Educacio secundaria obligatoria"
"21","Alt Camp","4","Public","Educacio primaria",9,96,2,2.1,"Catalunya","4-Educacio primaria"
"22","Alt Camp","4","Public","Educacio secundaria obligatoria",15,4,1,25,"Catalunya","4-Educacio secundaria obligatoria"
"23","Alt Camp","5","Privat","Educacio primaria",10,1,1,100,"Catalunya","5-Educacio primaria"
"24","Alt Camp","5","Public","Educacio primaria",10,100,6,6,"Catalunya","5-Educacio primaria"
"25","Alt Camp","6","Privat","Educacio primaria",11,0,1,Inf,"Catalunya","6-Educacio primaria"
"26","Alt Camp","6","Public","Educacio primaria",11,82,1,1.2,"Catalunya","6-Educacio primaria"
"27","Alt Emporda","1","Privat","Educacio infantil 2n cicle",3,170,162,95.3,"Catalunya","1-Educacio infantil 2n cicle"
"28","Alt Emporda","1","Privat","Educacio primaria",6,2,1,50,"Catalunya","1-Educacio primaria"
"29","Alt Emporda","1","Privat","Educacio secundaria obligatoria",12,49,37,75.5,"Catalunya","1-Educacio secundaria obligatoria"
"30","Alt Emporda","1","Public","Educacio infantil 2n cicle",3,1297,1053,81.2,"Catalunya","1-Educacio infantil 2n cicle"
"31","Alt Emporda","1","Public","Educacio primaria",6,109,16,14.7,"Catalunya","1-Educacio primaria"
"32","Alt Emporda","1","Public","Educacio secundaria obligatoria",12,1344,1258,93.6,"Catalunya","1-Educacio secundaria obligatoria"
"33","Alt Emporda","2","Privat","Educacio infantil 2n cicle",4,1,2,200,"Catalunya","2-Educacio infantil 2n cicle"
"34","Alt Emporda","2","Privat","Educacio primaria",7,6,6,100,"Catalunya","2-Educacio primaria"
"35","Alt Emporda","2","Privat","Educacio secundaria obligatoria",13,10,0,0,"Catalunya","2-Educacio secundaria obligatoria"
"36","Alt Emporda","2","Public","Educacio infantil 2n cicle",4,146,15,10.3,"Catalunya","2-Educacio infantil 2n cicle"
"37","Alt Emporda","2","Public","Educacio primaria",7,104,10,9.6,"Catalunya","2-Educacio primaria"
"38","Alt Emporda","2","Public","Educacio secundaria obligatoria",13,60,12,20,"Catalunya","2-Educacio secundaria obligatoria"
"39","Alt Emporda","3","Privat","Educacio infantil 2n cicle",5,1,4,400,"Catalunya","3-Educacio infantil 2n cicle"
"40","Alt Emporda","3","Privat","Educacio primaria",8,1,4,400,"Catalunya","3-Educacio primaria"
"41","Alt Emporda","3","Privat","Educacio secundaria obligatoria",14,7,3,42.9,"Catalunya","3-Educacio secundaria obligatoria"
"42","Alt Emporda","3","Public","Educacio infantil 2n cicle",5,135,11,8.1,"Catalunya","3-Educacio infantil 2n cicle"
"43","Alt Emporda","3","Public","Educacio primaria",8,97,15,15.5,"Catalunya","3-Educacio primaria"
"44","Alt Emporda","3","Public","Educacio secundaria obligatoria",14,6,10,166.7,"Catalunya","3-Educacio secundaria obligatoria"
"45","Alt Emporda","4","Privat","Educacio primaria",9,0,2,Inf,"Catalunya","4-Educacio primaria"
"46","Alt Emporda","4","Privat","Educacio secundaria obligatoria",15,1,2,200,"Catalunya","4-Educacio secundaria obligatoria"
"47","Alt Emporda","4","Public","Educacio primaria",9,115,8,7,"Catalunya","4-Educacio primaria"
"48","Alt Emporda","4","Public","Educacio secundaria obligatoria",15,67,6,9,"Catalunya","4-Educacio secundaria obligatoria"
"49","Alt Emporda","5","Privat","Educacio primaria",10,0,4,Inf,"Catalunya","5-Educacio primaria"
"50","Alt Emporda","5","Public","Educacio primaria",10,104,9,8.7,"Catalunya","5-Educacio primaria"
"51","Alt Emporda","6","Privat","Educacio primaria",11,0,1,Inf,"Catalunya","6-Educacio primaria"
